trade_date,ts_code,trade_date,close,open,high,low,pre_close,pct_chg,vol,amount
2003-09-10,00001.HK,20030910,59.75,61.75,62.0,59.25,62.75,-4.78,9784403.0,594370326.0
2003-09-11,00001.HK,20030911,60.25,59.25,60.75,59.25,59.75,0.83,7701839.0,462580183.0
2003-09-15,00001.HK,20030915,62.0,60.75,62.5,60.25,60.25,2.9,4951637.0,303269505.0
2003-09-16,00001.HK,20030916,62.0,61.25,62.25,60.5,62.0,0.0,5189447.0,319752026.0
2003-09-17,00001.HK,20030917,63.25,63.0,64.0,62.75,62.0,2.01,7017487.0,444434856.0
2003-09-18,00001.HK,20030918,62.25,63.0,63.0,61.5,63.25,-1.58,5632202.0,350926082.0
2003-09-19,00001.HK,20030919,59.75,59.75,63.0,59.0,62.25,-4.01,7325743.0,445840685.0
2003-09-22,00001.HK,20030922,59.0,59.0,60.5,58.75,59.75,-1.25,6819902.0,405667401.0
2003-09-23,00001.HK,20030923,60.25,59.0,60.5,58.25,59.0,2.11,7283538.0,432894784.0
2003-09-24,00001.HK,20030924,64.0,60.75,64.25,60.75,60.25,6.22,13637250.0,853853808.0
2003-09-25,00001.HK,20030925,61.25,63.5,63.75,60.75,64.0,-4.29,15969550.0,1005957639.0
2003-09-26,00001.HK,20030926,61.75,61.75,62.5,61.0,61.25,0.81,8290500.0,513366423.0
2003-09-29,00001.HK,20030929,61.0,61.75,61.75,60.5,61.75,-1.21,6185019.0,377945143.0
2003-09-30,00001.HK,20030930,61.25,62.0,62.5,61.0,61.0,0.4,5224182.0,322052334.0
2003-10-02,00001.HK,20031002,65.0,62.25,65.5,62.25,61.25,6.12,15510169.0,994678378.0
2003-10-03,00001.HK,20031003,65.25,66.0,66.0,64.5,65.0,0.38,7729914.0,503671151.0
2003-10-06,00001.HK,20031006,66.5,65.75,67.0,65.75,65.25,1.91,11181734.0,741978924.0
2003-10-07,00001.HK,20031007,65.0,65.5,65.75,64.5,66.12,-1.69,6808154.0,443443353.0
2003-10-08,00001.HK,20031008,63.25,65.25,65.5,63.0,65.0,-2.69,6246439.0,402298853.0
2003-10-09,00001.HK,20031009,64.5,63.25,64.75,63.25,63.25,1.97,4430917.0,284665459.0
2003-10-10,00001.HK,20031010,65.5,65.25,65.75,64.5,64.5,1.55,4174656.0,272000467.0
2003-10-13,00001.HK,20031013,66.0,65.75,66.25,65.0,65.5,0.76,3133108.0,205895626.0
2003-10-14,00001.HK,20031014,64.75,66.5,66.75,64.75,66.0,-1.89,3660802.0,240439555.0
2003-10-15,00001.HK,20031015,65.75,65.0,66.0,64.75,64.75,1.54,4195846.0,274856528.0
2003-10-16,00001.HK,20031016,65.75,65.75,66.0,64.75,65.75,0.0,5364038.0,351219648.0
2003-10-17,00001.HK,20031017,65.0,66.0,66.0,64.5,65.75,-1.14,5400171.0,350667369.0
2003-10-20,00001.HK,20031020,66.0,64.75,66.5,64.75,65.0,1.53,3978390.0,261878429.0
2003-10-21,00001.HK,20031021,66.0,66.5,66.5,65.5,66.0,0.0,3595549.0,237385876.0
2003-10-22,00001.HK,20031022,64.25,66.5,66.5,64.0,66.0,-2.65,6941600.0,453395095.0
2003-10-23,00001.HK,20031023,63.0,63.75,64.0,62.5,64.25,-1.94,7545138.0,477610642.0
2003-10-24,00001.HK,20031024,62.5,63.25,63.25,61.5,63.0,-0.79,7440588.0,463458441.0
2003-10-27,00001.HK,20031027,62.5,62.5,62.5,62.0,62.5,0.0,3283056.0,204443960.0
2003-10-28,00001.HK,20031028,64.25,62.75,64.5,62.75,62.5,2.8,4962227.0,316106787.0
2003-10-29,00001.HK,20031029,65.0,65.0,65.5,64.25,64.25,1.16,8017134.0,519747640.0
2003-10-30,00001.HK,20031030,64.5,65.0,65.0,63.75,65.0,-0.76,3140838.0,201723508.0
2003-10-31,00001.HK,20031031,64.75,64.75,65.25,63.75,64.5,0.38,4876733.0,315290883.0
2003-11-03,00001.HK,20031103,64.75,65.25,65.25,64.5,64.75,0.0,7409045.0,480865702.0
2003-11-04,00001.HK,20031104,64.5,65.75,65.75,63.75,64.75,-0.38,4416501.0,285808096.0
2003-11-05,00001.HK,20031105,64.0,63.75,64.75,63.5,64.5,-0.77,4306994.0,275921105.0
2003-11-06,00001.HK,20031106,62.25,63.75,64.0,62.0,64.0,-2.73,5719124.0,359389179.0
2003-11-07,00001.HK,20031107,62.5,63.0,63.0,62.25,62.25,0.4,5116806.0,320165484.0
2003-11-10,00001.HK,20031110,61.5,62.5,62.75,61.0,62.5,-1.6,2951000.0,182532948.0
2003-11-11,00001.HK,20031111,61.0,61.0,61.75,60.25,61.5,-0.81,4308118.0,262312855.0
2003-11-12,00001.HK,20031112,60.0,61.0,61.25,59.5,61.0,-1.63,5001952.0,300858655.0
2003-11-13,00001.HK,20031113,61.5,60.75,61.75,60.5,60.0,2.5,3003152.0,183280882.0
2003-11-14,00001.HK,20031114,62.0,62.0,62.25,61.25,61.5,0.81,3143911.0,194207411.0
2003-11-17,00001.HK,20031117,60.25,60.0,61.0,59.75,62.0,-2.82,3488637.0,210237838.0
2003-11-18,00001.HK,20031118,59.0,60.0,60.0,57.75,60.25,-2.07,9305364.0,547640988.0
2003-11-19,00001.HK,20031119,57.5,57.75,58.25,57.25,59.0,-2.54,9533852.0,549075341.0
2003-11-20,00001.HK,20031120,58.0,58.25,58.5,57.5,57.5,0.86,3980873.0,230906917.0
2003-11-21,00001.HK,20031121,58.25,57.5,58.75,57.25,58.0,0.43,4425440.0,256594812.0
2003-11-24,00001.HK,20031124,58.25,58.0,58.75,57.75,58.25,0.0,2018500.0,117451204.0
2003-11-25,00001.HK,20031125,58.75,59.0,59.5,58.5,58.25,0.85,3387700.0,199964111.0
2003-11-26,00001.HK,20031126,59.5,59.0,59.75,58.75,58.75,1.27,3019864.0,179019571.0
2003-11-27,00001.HK,20031127,59.75,59.5,60.25,59.25,59.5,0.42,2790884.0,166683139.0
2003-11-28,00001.HK,20031128,61.25,60.0,61.25,60.0,59.75,2.51,4288895.0,260360535.0
2003-12-01,00001.HK,20031201,62.5,61.25,62.75,61.25,61.25,2.04,4661004.0,288505139.0
2003-12-02,00001.HK,20031202,62.0,63.0,63.0,61.75,62.5,-0.8,6131320.0,382786039.0
2003-12-03,00001.HK,20031203,61.25,62.0,62.5,61.25,62.0,-1.2,3418569.0,211733444.0
2003-12-04,00001.HK,20031204,60.25,61.75,61.75,60.0,61.25,-1.63,2992249.0,181615024.0
2003-12-05,00001.HK,20031205,60.5,60.0,60.75,59.75,60.25,0.41,2623736.0,157952942.0
